Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Build_Paint_N,Building_Fenced,Build_Fence_N,Garden,Garden_V,Garden_O,Garden_T,Settlement,Settlement2,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
H2902,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,1240,2,1920,5,42218.0,0
H14236,2014,1.0,0,N,1,V,0,V,1,0,0,U,1,1600,2,1980,0,30028.0,0
H1573,2013,1.0,1,V,0,N,1,O,0,1,0,R,0,13280,2,1968,9,38185.0,1
H4581,2015,1.0,0,N,1,V,0,V,1,0,0,U,1,800,2,1960,0,83050.0,0
H3269,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,2160,2,1980,3,67204.0,0
H7229,2012,1.0,1,V,0,N,1,O,0,1,0,R,0,3538,2,2004,5,34032.0,1
H15499,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,1050,2,1864,6,13204.0,1
H19635,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,700,3,2014,3,59350.0,0
H14789,2016,0.99726776,0,N,1,V,0,V,1,0,0,U,1,632,2,1960,0,77371.0,1
H6797,2013,1.0,1,N,1,V,0,V,1,0,0,U,1,630,4,1960,0,75110.0,0
H16714,2016,0.99726776,1,V,0,N,1,O,0,1,0,R,0,3936,2,2008,4,77449.0,0
H13049,2016,1.0,0,V,0,N,1,O,0,1,0,R,0,3200,3,1980,5,54395.0,1
H4857,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,1700,3,1960,5,64445.0,0
H17981,2016,0.99726776,0,V,0,N,1,O,0,1,0,R,0,3280,2,1971,7,26362.0,0
H2479,2016,0.99726776,0,V,0,V,0,V,1,0,0,U,1,965,2,1988,0,62899.0,0
H2152,2016,0.99726776,0,V,0,V,0,V,1,0,0,U,1,1600,2,1980,0,14327.0,0
H17132,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,4251,1,2007,6,74012.0,0
H2739,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,522,2,1964,2,13211.0,0
H6840,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,1200,1,1960,0,71270.0,0
H18749,2012,0.300546448,1,V,0,N,1,O,0,1,0,R,0,2414,2,2012,4,69244.0,0
H1426,2016,1.0,1,V,0,V,0,V,1,0,0,U,1,213,2,0,0,42218.0,0
H6435,2016,0.494535519,0,V,0,V,0,V,1,0,0,U,1,1845,1,1980,0,42186.0,0
H15313,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,1040,2,1960,5,13205.0,0
H19300,2016,1.0,0,V,0,N,1,O,0,1,0,R,0,1131,1,2007,3,49050.0,0
H4982,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,272,2,1988,3,83119.0,0
H14950,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,1213,2,1956,4,76719.0,1
H14748,2012,1.0,0,N,1,V,0,V,1,0,0,U,1,960,3,1960,0,93066.0,0
H4378,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,3625,1,1998,3,63075.0,0
H2378,2015,1.0,0,V,0,V,0,V,1,0,0,U,1,250,1,1980,0,13117.0,0
H16969,2013,1.0,1,V,0,N,1,O,0,1,0,R,0,200,2,1930,2,51454.0,0
H3088,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,530,2,1960,0,13215.0,0
H2766,2014,0.567123288,0,V,0,V,0,V,1,0,0,U,1,676,2,1960,0,64122.0,0
H18903,2016,0.99726776,1,V,0,N,1,O,0,1,0,R,0,1050,2,2012,4,38126.0,0
H2014,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,500,2,1972,4,68142.0,1
H6477,2016,1.0,1,V,0,N,1,O,0,1,0,R,0,500,2,1920,6,13201.0,0
H5802,2015,1.0,0,V,0,V,0,V,1,0,0,U,1,720,2,1960,0,26362.0,0
H6637,2015,0.216438356,1,V,0,V,0,V,1,0,0,U,1,1412,3,0,0,33063.0,0
H2603,2014,1.0,1,V,0,N,1,O,0,1,0,R,0,7186,4,1970,6,6159.0,1
H6428,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,200,3,1800,5,33063.0,0
H15085,2012,1.0,1,N,1,V,0,V,1,0,0,U,1,1100,3,1960,0,92012.0,0
H2536,2012,0.74863388,0,V,0,V,0,V,1,0,0,U,1,600,1,1960,0,42275.0,0
H7051,2016,0.99726776,1,V,0,N,1,O,0,1,0,R,0,780,2,1960,4,38001.0,0
H7422,2013,1.0,1,V,0,V,0,V,1,0,0,U,1,3700,2,1980,0,83115.0,0
H16888,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,310,3,1900,1,33063.0,0
H2428,2016,0.99726776,0,V,0,N,1,O,0,1,0,R,0,400,1,1980,3,63014.0,0
H16816,2012,1.0,1,V,0,N,1,O,0,1,0,R,0,3000,2,1960,5,57160.0,0
H14159,2013,0.246575342,1,N,1,V,0,V,1,0,0,U,1,1065,3,1960,0,92020.0,0
H14402,2013,1.0,0,N,1,V,0,V,1,0,0,U,1,2270,2,1960,0,42218.0,0
H7193,2013,0.961643836,1,N,1,V,0,V,1,0,0,U,1,3950,4,1960,0,75116.0,0
H15689,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,1890,2,1965,5,13204.0,0
H4345,2012,1.0,0,N,1,V,0,V,1,0,0,U,1,300,2,1980,0,62571.0,0
H3718,2015,1.0,0,V,0,V,0,V,1,0,0,U,1,700,2,1960,0,13203.0,1
H12817,2015,1.0,0,N,1,V,0,V,1,0,0,U,1,530,4,1980,0,6079.0,0
H18747,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,350,1,1951,3,74056.0,0
H362,2015,1.0,1,V,0,V,0,V,1,0,0,U,1,403,4,1980,0,75118.0,0
H4053,2013,1.0,1,V,0,N,1,O,0,1,0,R,0,975,4,1900,7,75118.0,1
H18737,2014,0.578082192,0,V,0,N,1,O,0,1,0,R,0,300,2,2012,2,38067.0,0
H19810,2016,0.99726776,0,V,0,N,1,O,0,1,0,R,0,985,2,2006,2,34301.0,1
H16461,2016,0.99726776,0,V,0,N,1,O,0,1,0,R,0,808,1,2010,4,13063.0,1
H3293,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,1256,2,1994,3,38527.0,0
H389,2016,1.0,0,V,0,V,0,V,1,0,0,U,1,350,1,1960,0,12208.0,0
H16094,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,1554,2,2010,4,63113.0,1
H5481,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,1640,3,1960,0,54395.0,0
H3708,2013,0.898630137,0,N,1,V,0,V,1,0,0,U,1,350,2,1960,0,13202.0,0
H13725,2012,1.0,0,N,1,N,1,O,0,1,0,R,0,3040,2,1960,6,13206.0,0
H16972,2012,1.0,1,V,0,N,1,O,0,1,0,R,0,590,4,1930,6,75119.0,0
H6188,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,14600,1,1980,0,43002.0,1
H5747,2016,1.0,0,V,0,N,1,O,0,1,0,R,0,605,2,1950,4,76231.0,0
H19972,2016,0.147540984,0,V,0,N,1,O,0,1,0,R,0,200,1,2006,2,21209.0,0
H5205,2015,0.808219178,0,V,0,V,0,V,1,0,0,U,1,434,1,1960,0,91174.0,1
H19678,2016,1.0,0,V,0,N,1,O,0,1,0,R,0,782,2,1988,4,83009.0,0
H16668,2013,1.0,1,V,0,N,1,O,0,1,0,R,0,900,2,1920,4,80182.0,0
H5507,2013,0.495890411,0,N,1,V,0,V,1,0,0,U,1,5657,4,1988,0,6121.0,0
H18487,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,630,1,1965,4,74217.0,0
H16789,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,499,2,1970,4,13206.0,1
H14088,2015,0.495890411,0,N,1,V,0,V,1,0,0,U,1,460,4,1960,0,75117.0,0
H17284,2012,1.0,1,V,0,N,1,O,0,1,0,R,0,2515,4,2011,6,75115.0,0
H6554,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,1210,2,1960,5,13001.0,0
H15157,2012,1.0,1,N,1,V,0,V,1,0,0,U,1,285,3,1960,0,92014.0,1
H16958,2013,0.164383562,0,V,0,N,1,O,0,1,0,R,0,275,1,1900,3,58194.0,0
H15111,2016,0.99726776,0,N,1,V,0,V,1,0,0,U,1,650,1,1960,0,88075.0,0
H2156,2016,1.0,0,V,0,N,1,O,0,1,0,R,0,730,2,1960,4,38169.0,0
H4203,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,800,3,0,0,64483.0,0
H17405,2014,0.495890411,0,V,0,N,1,O,0,1,0,R,0,1363,1,1966,5,27229.0,0
H7246,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,2241,2,2004,3,40209.0,0
H19620,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,460,1,1900,3,45234.0,0
H16169,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,230,1,1850,2,10343.0,0
H13519,2016,0.99726776,1,N,1,V,0,V,1,0,0,U,1,1300,4,1960,0,75117.0,0
H3366,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,1000,2,1998,2,62201.0,0
H19449,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,1235,3,2013,4,64445.0,0
H13871,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,3339,2,1988,5,83069.0,0
H6198,2012,1.0,0,N,1,V,0,V,1,0,0,U,1,1255,3,1980,0,54395.0,0
H18239,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,500,3,1850,7,83137.0,0
H19041,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,4862,1,1988,7,10387.0,0
H6586,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,1978,3,1960,0,93051.0,0
H18356,2015,1.0,1,V,0,N,1,O,0,1,0,R,0,2205,3,1895,7,94067.0,0
H6365,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,620,2,1900,4,13001.0,0
H2399,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,1610,3,1973,7,64445.0,1
H17353,2012,1.0,1,V,0,N,1,O,0,1,0,R,0,1010,3,2011,3,94015.0,0
H2206,2015,1.0,1,V,0,V,0,V,1,0,0,U,1,520,1,1960,0,33063.0,0
H2788,2012,0.0,1,V,0,V,0,V,1,0,0,U,1,481,2,0,0,56121.0,0
H2712,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,550,2,1950,3,34172.0,0
H17990,2016,0.99726776,1,V,0,N,1,O,0,1,0,R,0,2025,4,1880,7,75116.0,0
H6503,2012,1.0,0,N,1,V,0,V,1,0,0,U,1,530,2,1960,0,34301.0,0
H4697,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,450,4,1980,0,6157.0,0
H18235,2015,1.0,1,V,0,N,1,O,0,1,0,R,0,2712,4,1970,6,6083.0,0
H14883,2015,1.0,0,N,1,V,0,V,1,0,0,U,1,200,3,1980,0,93049.0,0
H6286,2015,1.0,0,N,1,V,0,V,1,0,0,U,1,2290,1,1980,0,74281.0,0
H2304,2015,0.0,0,V,0,V,0,V,1,0,0,U,1,300,4,0,0,65440.0,0
H5030,2016,0.99726776,1,V,0,N,1,O,0,1,0,R,0,6417,2,1998,2,64024.0,0
H7468,2013,0.41369863,1,N,1,V,0,V,1,0,0,U,1,1232,3,1960,0,92044.0,0
H5494,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,1300,2,1990,6,30133.0,1
H16573,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,250,3,1920,3,94033.0,0
H5682,2016,1.0,1,V,0,V,0,V,1,0,0,U,1,820,4,1960,0,75111.0,0
H5981,2013,1.0,1,V,0,V,0,V,1,0,0,U,1,150,2,0,0,69034.0,0
H7131,2013,1.0,1,N,1,V,0,V,1,0,0,U,1,831,3,1960,0,92032.0,0
H17914,2014,1.0,1,V,0,N,1,O,0,1,0,R,0,640,2,1982,4,95539.0,1
H18674,2012,0.480874317,1,V,0,N,1,O,0,1,0,R,0,1315,4,1900,6,6088.0,0
H674,2013,1.0,1,V,0,V,0,V,1,0,0,U,1,410,4,0,0,75119.0,0
H19320,2013,0.167123288,0,V,0,N,1,O,0,1,0,R,0,300,3,1900,3,64445.0,0
H5428,2015,1.0,0,V,0,V,0,V,1,0,0,U,1,644,2,1960,0,69266.0,0
H15579,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,5439,1,1976,11,3190.0,1
H3899,2012,1.0,1,V,0,V,0,V,1,0,0,U,1,280,2,1980,0,56083.0,0
H17960,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,8670,2,1971,7,66136.0,0
H5304,2014,1.0,0,N,1,V,0,V,1,0,0,U,1,880,1,1980,0,19031.0,0
H2657,2016,0.99726776,1,V,0,V,0,V,1,0,0,U,1,1130,2,1960,0,51454.0,0
H19849,2016,0.890710383,0,V,0,N,1,O,0,1,0,R,0,940,1,2015,3,91182.0,0
H6950,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,2225,2,1995,6,62193.0,0
H16965,2014,1.0,1,V,0,N,1,O,0,1,0,R,0,820,4,1940,6,75117.0,1
H4958,2013,0.084931507,1,N,1,V,0,V,1,0,0,U,1,1135,3,0,0,92044.0,0
H3751,2014,1.0,0,V,0,V,0,V,1,0,0,U,1,2427,2,0,0,64249.0,0
H15856,2016,0.99726776,1,V,0,N,1,O,0,1,0,R,0,1234,3,2001,2,33063.0,1
H18271,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,3800,2,1986,1,83065.0,0
H14282,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,20940,2,1969,4,30133.0,1
H6231,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,2250,1,1988,0,73317.0,0
H5433,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,420,1,1960,0,50218.0,1
H12998,2012,1.0,0,N,1,V,0,V,1,0,0,U,1,250,1,1988,0,91174.0,0
H14134,2013,1.0,0,N,1,V,0,V,1,0,0,U,1,450,2,0,0,13206.0,0
H16528,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,8265,4,1958,5,6088.0,1
H18220,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,700,4,1960,3,6083.0,1
H16467,2012,1.0,1,V,0,N,1,O,0,1,0,R,0,350,3,1930,2,92026.0,0
H5087,2012,1.0,1,V,0,N,1,O,0,1,0,R,0,1150,3,1960,6,92044.0,0
H2338,2016,1.0,0,V,0,V,0,V,1,0,0,U,1,450,2,1960,0,38544.0,1
H4460,2016,1.0,0,V,0,N,1,O,0,1,0,R,0,510,1,1980,2,22282.0,1
H18513,2012,0.49726776,0,V,0,N,1,O,0,1,0,R,0,600,2,1930,3,42218.0,0
H3583,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,963,2,1996,2,30062.0,0
H2071,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,950,3,1980,0,67482.0,0
H18860,2012,0.25136612,1,V,0,N,1,O,0,1,0,R,0,7500,4,1900,7,75108.0,1
H4819,2015,1.0,1,V,0,N,1,O,0,1,0,R,0,858,3,1900,4,92049.0,1
H12716,2012,1.0,0,N,1,V,0,V,1,0,0,U,1,700,1,1960,0,46176.0,0
H16923,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,1461,1,1960,6,35288.0,0
H16481,2015,1.0,1,V,0,N,1,O,0,1,0,R,0,722,3,1950,6,93070.0,0
H17110,2012,1.0,1,V,0,N,1,O,0,1,0,R,0,1908,4,1920,6,6088.0,0
H14859,2012,1.0,1,N,1,V,0,V,1,0,0,U,1,1175,3,1960,0,94002.0,0
H7410,2014,1.0,0,V,0,V,0,V,1,0,0,U,1,260,4,1980,0,6083.0,0
H19702,2016,0.99726776,0,V,0,N,1,O,0,1,0,R,0,1250,1,2015,5,35288.0,0
H3296,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,400,1,1930,1,12145.0,0
H16254,2015,1.0,1,V,0,N,1,O,0,1,0,R,0,5586,4,1978,5,6027.0,0
H1949,2014,1.0,0,V,0,V,0,V,1,0,0,U,1,810,2,1980,0,21231.0,0
H6175,2013,1.0,1,V,0,V,0,V,1,0,0,U,1,1000,4,1960,0,75115.0,0
H1890,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,435,3,1900,5,38185.0,0
H6976,2013,0.668493151,1,N,1,V,0,V,1,0,0,U,1,763,2,1960,0,13202.0,1
H4549,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,4350,1,2000,1,35288.0,0
H17406,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,2644,1,1980,4,27229.0,1
H15800,2013,0.021917808,0,V,0,N,1,O,0,1,0,R,0,800,2,1975,3,66136.0,0
H16681,2013,1.0,1,V,0,N,1,O,0,1,0,R,0,2186,3,1960,3,94068.0,0
H5583,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,900,2,1988,0,67130.0,0
H5968,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,1100,3,1930,5,54395.0,0
H6040,2012,1.0,1,V,0,V,0,V,1,0,0,U,1,260,4,0,0,75119.0,0
H5472,2016,1.0,0,V,0,V,0,V,1,0,0,U,1,2124,1,1988,0,74224.0,0
H17937,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,1500,2,1900,5,13202.0,0
H16051,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,1312,1,1994,3,42005.0,0
H2844,2013,0.084931507,0,V,0,N,1,O,0,1,0,R,0,1520,2,1995,5,67268.0,0
H3819,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,4700,1,0,0,15014.0,1
H2745,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,4142,2,1969,11,38229.0,0
H5263,2015,1.0,0,V,0,V,0,V,1,0,0,U,1,3000,1,1988,0,73065.0,1
H1681,2014,1.0,1,V,0,N,1,O,0,1,0,R,0,1975,2,1959,8,69386.0,0
H6943,2014,1.0,1,V,0,V,0,V,1,0,0,U,1,3050,2,1980,0,83933.0,0
H13126,2013,1.0,0,N,1,V,0,V,1,0,0,U,1,430,2,1960,0,21231.0,0
H3121,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,900,1,1977,4,13021.0,0
H2447,2016,1.0,0,V,0,V,0,V,1,0,0,U,1,1390,2,1980,0,29185.0,0
H19624,2015,0.953424658,0,V,0,N,1,O,0,1,0,R,0,150,2,1975,3,83061.0,0
H17050,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,650,2,1950,5,51108.0,0
H18515,2014,1.0,1,V,0,N,1,O,0,1,0,R,0,3744,1,1978,6,16015.0,0
H7255,2013,1.0,0,N,1,V,0,V,1,0,0,U,1,410,2,1980,0,83126.0,0
H5584,2012,1.0,0,N,1,V,0,V,1,0,0,U,1,555,2,0,0,67152.0,0
H19878,2016,0.0,0,V,0,N,1,O,0,1,0,R,0,1689,2,1900,4,34172.0,0
H3294,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,6410,4,1960,0,6123.0,1
H17519,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,3270,4,1980,7,6014.0,1
H2550,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,600,1,1947,3,74236.0,0
H16010,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,4377,3,2000,9,38185.0,0
H1470,2012,0.836065574,0,V,0,V,0,V,1,0,0,U,1,762,2,1960,0,21231.0,0
H4423,2016,0.99726776,0,V,0,N,1,O,0,1,0,R,0,690,2,1930,4,62108.0,0
H3034,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,520,2,1960,0,34172.0,0
H135,2014,1.0,0,V,0,V,0,V,1,0,0,U,1,290,2,1980,0,14118.0,0
H15251,2012,0.915300546,0,V,0,N,1,O,0,1,0,R,0,288,2,1900,2,26198.0,0
H3985,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,952,4,1970,6,6088.0,0
H13553,2014,1.0,0,N,1,V,0,V,1,0,0,U,1,3500,2,1988,0,59279.0,1
H1935,2014,1.0,1,V,0,V,0,V,1,0,0,U,1,3335,1,1980,0,74081.0,1
H595,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,1070,2,1980,0,13208.0,1
